ID,名前,威力,属性,説明,種類,追加攻撃の有無,値段,消費MP,成功確率
0,木刀,2,木,修学旅行で買うよね,攻,0,2,0,100
1,竹刀,1,木,普通に痛い竹刀,攻,0,1,0,100
2,ファイアソード,5,炎,熱い炎を纏った剣,攻,0,5,0,100
3,一登シールド,5,無,一登特製の謎の盾,両,1,3,0,100
4,拳気・炎,3,炎,拳に炎を纏う,攻,0,5,0,100
5,拳気・水,3,水,拳に水を纏う,攻,0,5,0,100
6,かねごん,1,無,かねごんです。,攻,0,1,0,100
7,癒しのコーヒー,5,無,カフェのコーヒー,癒,0,5,0,100
8,回復の石,10,無,回復できる石,癒,0,7,0,100
9,ヒールヒール,15,無,いっぱい回復できる,癒,0,6,0,100
10,終焉,30,闇,終焉の力を持つ奇跡,奇,0,0,50,100
11,アンリミテッド,0,無,攻撃×(自身のMP×2),奇,0,0,0,100
12,ブーム,2,炎,爆撃追加攻撃,攻,1,2,0,100
13,エンジン,7,無,エンジンを鳴らせ,攻,1,10,0,100
14,フィールド,5,無,新たな領域を追加する,攻,1,5,0,100
15,プラス,1,光,ちょっとプラスする,攻,1,1,0,100
16,シュミレーター,4,無,機械の力で増強,攻,1,4,0,100
17,ファイナルかねごん,30,無,最後のかねごん,攻,0,30,0,100
18,オリジン,10,無,オリジナルそのもの,攻,1,15,0,100
19,ムーブ,3,無,アグレッシブになる,攻,1,3,0,100
20,第十のかねごん,10,無,十番目のかねごん,攻,0,15,0,100
21,伝説,30,無,偉大なるものを生み出す,攻,1,30,0,100
22,関数,6,無,関数で能力アップ,攻,1,10,0,100
23,イコールイコール,0,無,ステータスを等しく交換,換,0,5,0,100
24,チョイスチョイス,0,無,相手カードをランダム購入,買,0,5,0,100
25,バイバイ,0,無,相手にカードを売りつける,売,0,5,0,100
26,狂人ムーブ,7,無,狂った人のような動き,全,0,6,0,50
27,ヒール,2,無,攻撃的なヒール。,攻,1,5,0,100
28,ネメシス,10,闇,復讐心を込める,攻,0,20,0,100
29,マテリアル,2,木,素材そのもの,奇,1,0,2,100
30,木片,1,木,そこそこ固い木片,守,1,1,0,100
31,革のヘルメット,1,無,革でできたヘルメット,守,1,1,0,100
32,革の鎧,2,無,革でできた鎧,守,1,1,0,100
33,石の兜,3,無,石でできた兜,守,1,3,0,100
34,石の鎧,4,無,石でできた鎧,守,1,3,0,100
35,大理石の兜,5,無,大理石でできた兜,守,1,5,0,100
36,大理石の鎧,6,無,大理石でできた鎧,守,1,5,0,100
37,鉄の兜,7,無,鉄製の兜,守,1,7,0,100
38,鉄の鎧,8,無,鉄製の鎧,守,1,7,0,100
39,ファイアアーマー,8,炎,炎に包まれた鎧,守,1,5,0,100
40,ファイアブーツ,3,炎,炎に包まれた靴,守,1,3,0,100
41,ファイアマント,5,炎,炎に包まれたマント,守,1,10,0,100
42,アイスアーマー,8,水,水に包まれた鎧,守,1,5,0,100
43,アイスブーツ,3,水,水に包まれた靴,守,1,3,0,100
44,アイスマント,5,水,水に包まれたマント,守,1,10,0,100
45,リーフアーマー,8,木,草に包まれた鎧,守,1,5,0,100
46,リーフブーツ,3,木,草に包まれた靴,守,1,3,0,100
47,リーフマント,5,木,草に包まれたマント,守,1,10,0,100
48,ライトアーマー,8,光,光に包まれた鎧,守,1,5,0,100
49,ライトブーツ,3,光,光に包まれた靴,守,1,3,0,100
50,ライトマント,5,光,光に包まれたマント,守,1,10,0,100
51,石板,3,無,石でできた板,両,1,2,0,100
52,鋼鉄のアーム,6,無,鋼鉄でできたアーム,両,1,6,0,100
53,たいまつ,1,炎,たいまつ,攻,0,1,0,100
54,木の枝,1,木,ちょっと痛い木の枝,攻,1,1,0,100
55,カネゴン,1,無,追加できるかねごん,攻,1,2,0,100
56,大胸筋,7,無,力強い大胸筋,両,1,1,0,100
57,腹筋,5,無,立派な腹筋,攻,1,1,0,100
58,ドリーム,5,光,夢があるのは悪では無い,攻,1,10,0,100
59,ズ,0,無,攻撃力を2倍にする,奇,1,0,6,100
60,キャッスル,0,無,無属性攻撃を無効化,奇,0,0,10,100
61,クラス,0,無,全体攻撃にできる,奇,0,0,5,100
62,オーバードライブ,10,光,生命エネルギーで全体攻撃,全,0,15,0,75
63,ウォッチ,6,光,ちょっと高級な時計,守,1,15,0,100
64,パーセント,10,無,確率で全体攻撃,全,0,10,0,25
65,ミートソース,20,無,美味しいミートソース,癒,0,20,0,100
66,星,3,光,輝く星,攻,1,0,0,100
67,山,0,無,山の力で奇跡を弾く,奇,0,0,5,50
68,つらら,1,水,固い氷でできてる,攻,0,1,0,100
69,銀のかねごん,1,無,銀製かねごん,攻,0,10,0,100
70,金のかねごん,1,無,金製かねごん,攻,0,20,0,100
71,ダイヤのかねごん,1,無,ダイヤモンド製かねごん,攻,0,30,0,100
72,もちぃスマイル,5,無,もちぃさんの笑顔,魔,0,3,0,100
73,aniaスマイル,10,無,aniaさんの笑顔,魔,0,5,0,100
74,アニキスマイル,15,無,アニキさんの笑顔,魔,0,10,0,100
75,シルバーシールド,9,無,銀製の盾,守,1,10,0,100
76,ゴールドシールド,10,無,金製の盾,守,1,15,0,100
77,クリスタルシールド,11,無,クリスタル製の盾,守,1,20,0,100
78,フレイムシールド,4,炎,炎でできた盾,守,1,5,0,100
79,アイスシールド,4,水,氷でできた盾,守,1,5,0,100
80,ウッドシールド,4,木,木でできた盾,守,1,5,0,100
81,ギガントアーマー,13,無,超強力な鎧,守,1,10,0,100
82,ギガントブーツ,12,無,超強力な靴,守,1,10,0,100
83,あられ,4,水,小さな氷の粒,奇,0,0,2,100
84,木の葉の舞,6,木,邪魔くさい葉っぱです,奇,0,0,3,100
85,紅蓮,15,炎,紅蓮の炎,奇,0,0,10,75
86,スティール,10,光,HPを吸収,奇,0,0,10,100
87,勇者の盾,16,無,勇者が使用した盾,守,1,10,0,100
88,勇者の小手,15,無,勇者が使用した小手,守,1,10,0,100
89,勇者のマント,14,無,勇者が使用したマント,守,1,10,0,100
90,英雄の盾,19,無,英雄が使用した盾,守,1,15,0,100
91,英雄のマント,17,無,英雄が使用したマント,守,1,15,0,100
92,英雄の鎧,20,無,英雄が使用した鎧,守,1,15,0,100
93,英雄の小手,18,無,英雄が使用した小手,守,1,15,0,100
94,ファイア,3,炎,ちょっと熱い炎,奇,1,0,3,100
95,雪だるまの怒り,5,水,雪だるまによる全体攻撃,全,0,5,0,50
96,スライムガード,2,水,スライムで守る,守,1,5,0,100
97,炎上帽子,1,炎,燃えてる帽子,守,1,2,0,100
98,濡れたタオル,1,水,水気の多いタオル,守,1,2,0,100
99,花かんむり,1,木,花でできた冠,守,1,2,0,100
100,LEDキャップ,1,光,洞窟内はこれで安心,守,1,3,0,100
101,氷の王冠,6,水,氷でできた王冠,守,1,5,0,100
102,木の腕輪,2,木,木でできた腕輪,守,1,3,0,100
103,タンスの角,1,闇,小指をぶつけたら痛い,攻,0,5,0,100
104,果物ナイフ,3,無,果物を切るときのお供,攻,0,3,0,100
105,デコピン,2,無,おでこに喰らうと痛いやつ,攻,0,2,0,100
106,輝く靴下,2,光,まぶしい靴下,守,1,5,0,100
107,チクチク帽子,2,木,とげとげした帽子,両,1,3,0,100
108,マジックアーム,4,無,奇跡を弾ける小手,守,1,7,0,100
109,マジックシールド,7,無,奇跡を弾ける盾,守,1,7,0,100
110,マジックソード,5,無,奇跡を弾ける剣,攻,0,7,0,100
111,マジックアーマー,8,無,奇跡を弾ける鎧,守,1,7,0,100
112,マジックブーツ,1,無,奇跡を弾ける靴,守,1,7,0,100
113,マジックマント,7,無,奇跡を弾けるマント,守,1,7,0,100
114,マジックヘッド,7,無,奇跡を弾ける兜,守,1,7,0,100
115,エンゼルアーム,6,無,奇跡を止めれる小手,守,1,15,0,100
116,エンゼルシールド,12,無,奇跡を止めれる盾,守,1,15,0,100
117,エンゼルソード,10,無,奇跡を止めれる剣,攻,0,15,0,100
118,エンゼルアーマー,15,無,奇跡を止めれる鎧,守,1,15,0,100
119,エンゼルブーツ,3,無,奇跡を止めれる靴,守,1,15,0,100
120,エンゼルマント,10,無,奇跡を止めれるマント,守,1,15,0,100
121,エンゼルヘッド,8,無,奇跡を止めれる兜,守,1,15,0,100
122,月明かりの小手,5,無,奇跡を跳ね返せる小手,守,1,10,0,100
123,月明かりの盾,8,無,奇跡を跳ね返せる盾,守,1,10,0,100
124,月明かりの斧,15,無,奇跡を跳ね返せる斧,攻,0,10,0,100
125,月明かりの鎧,10,無,奇跡を跳ね返せる鎧,守,1,10,0,100
126,月明かりの靴,2,無,奇跡を跳ね返せる靴,守,1,10,0,100
127,月明かりのスカーフ,9,無,奇跡を跳ね返せるスカーフ,守,1,10,0,100
128,月明かりの兜,7,無,奇跡を跳ね返せる兜,守,1,10,0,100
129,,,,,,,,,
130,,,,,,,,,
